Male,Age,Debt,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Income,Approved
0.0,25.08,2.54,0.25,1,0,0,1,0,1
1.0,41.33,0.0,15.0,1,0,0,0,0,1
1.0,56.0,12.5,8.0,1,0,0,1,2028,1
0.0,49.83,13.585,8.5,1,0,0,1,0,1
1.0,22.67,10.5,1.335,1,0,0,0,0,1
1.0,27.0,1.5,0.375,1,0,0,1,1065,1
1.0,25.0,12.5,3.0,1,0,0,1,0,1
0.0,26.08,8.665,1.415,1,0,0,0,150,1
0.0,18.42,9.25,1.21,1,1,4,0,540,1
1.0,20.17,8.17,1.96,1,1,14,0,158,1
1.0,47.67,0.29,15.0,1,1,20,0,15000,1
0.0,21.25,2.335,0.5,1,1,4,0,0,1
0.0,20.67,3.0,0.165,1,1,3,0,6,1
0.0,57.08,19.5,5.5,1,1,7,0,3000,1
0.0,22.42,5.665,2.585,1,1,7,0,3257,1
1.0,48.75,8.5,12.5,1,1,9,0,1655,1
1.0,40.0,6.5,3.5,1,1,1,0,500,1
1.0,40.58,5.0,5.0,1,1,7,0,3065,1
0.0,28.67,1.04,2.5,1,1,5,1,1430,1
0.0,33.08,4.625,1.625,1,1,2,0,0,1
1.0,21.33,10.5,3.0,1,0,0,1,0,1
1.0,42.0,0.205,5.125,1,0,0,0,0,1
1.0,41.75,0.96,2.5,1,0,0,0,600,1
1.0,22.67,1.585,3.085,1,1,6,0,0,1
1.0,34.5,4.04,8.5,1,1,7,1,0,1
1.0,28.25,5.04,1.5,1,1,8,1,7,1
1.0,33.17,3.165,3.165,1,1,3,1,0,1
1.0,48.17,7.625,15.5,1,1,12,0,790,1
1.0,27.58,2.04,2.0,1,1,3,1,560,1
1.0,22.58,10.04,0.04,1,1,9,0,396,1
0.0,24.08,0.5,1.25,1,1,1,0,678,1
0.0,41.33,1.0,2.25,1,0,0,1,300,1
1.0,24.83,2.75,2.25,1,1,6,0,600,1
0.0,20.75,10.25,0.71,1,1,2,1,0,1
1.0,36.33,2.125,0.085,1,1,1,0,1187,1
0.0,35.42,12.0,14.0,1,1,8,0,6590,1
0.0,71.58,0.0,0.0,0,0,0,0,0,1
1.0,28.67,9.335,5.665,1,1,6,0,168,1
1.0,35.17,2.5,4.5,1,1,7,0,1270,1
1.0,39.5,4.25,6.5,1,1,16,0,1210,1
1.0,39.33,5.875,10.0,1,1,14,1,0,1
1.0,24.33,6.625,5.5,1,0,0,1,0,1
1.0,60.08,14.5,18.0,1,1,15,1,1000,1
1.0,23.08,11.5,3.5,1,1,9,0,742,1
1.0,26.67,2.71,5.25,1,1,1,0,0,1
1.0,48.17,3.5,3.5,1,0,0,0,0,1
1.0,41.17,4.04,7.0,1,1,8,0,0,1
1.0,55.92,11.5,5.0,1,1,5,0,8851,1
1.0,53.92,9.625,8.665,1,1,5,0,0,1
0.0,18.92,9.25,1.0,1,1,4,1,500,1
0.0,50.08,12.54,2.29,1,1,3,1,0,1
1.0,65.42,11.0,20.0,1,1,7,1,0,1
0.0,17.58,9.0,1.375,1,0,0,1,0,1
0.0,18.83,9.54,0.085,1,0,0,0,0,1
0.0,37.75,5.5,0.125,1,0,0,1,0,1
1.0,23.25,4.0,0.25,1,0,0,1,0,1
1.0,18.08,5.5,0.5,1,0,0,0,0,1
0.0,22.5,8.46,2.46,0,0,0,0,0,1
1.0,19.67,0.375,2.0,1,1,2,1,0,1
1.0,22.08,11.0,0.665,1,0,0,0,0,1
1.0,25.17,3.5,0.625,1,1,7,0,7059,1
0.0,47.42,3.0,13.875,1,1,2,1,1704,1
1.0,33.5,1.75,4.5,1,1,4,1,857,1
1.0,27.67,13.75,5.75,1,0,0,1,500,1
0.0,58.42,21.0,10.0,1,1,13,0,6700,1
0.0,20.67,1.835,2.085,1,1,5,0,2503,1
1.0,26.17,0.25,0.0,1,0,0,1,0,1
1.0,21.33,7.5,1.415,1,1,1,0,9800,1
1.0,42.83,4.625,4.58,1,0,0,0,0,1
1.0,38.17,10.125,2.5,1,1,6,0,196,1
1.0,20.5,10.0,2.5,1,0,0,0,0,1
1.0,48.25,25.085,1.75,1,1,3,0,14,1
1.0,28.33,5.0,11.0,1,0,0,1,0,1
0.0,18.75,7.5,2.71,1,1,5,0,26726,1
1.0,18.5,2.0,1.5,1,1,2,0,300,1
1.0,33.17,3.04,2.04,1,1,1,1,18027,1
1.0,45.0,8.5,14.0,1,1,1,1,2000,1
0.0,19.67,0.21,0.29,1,1,11,0,99,1
1.0,21.83,11.0,0.29,1,1,6,0,0,1
1.0,40.25,21.5,20.0,1,1,11,0,1200,1
1.0,41.42,5.0,5.0,1,1,6,1,0,1
0.0,17.83,11.0,1.0,1,1,11,0,3000,1
1.0,23.17,11.125,0.46,1,1,1,0,0,1
1.0,18.17,10.25,1.085,0,0,0,0,13,0
1.0,20.0,11.045,2.0,0,0,0,1,0,0
1.0,20.0,0.0,0.5,0,0,0,0,0,0
0.0,20.75,9.54,0.04,0,0,0,0,1000,0
0.0,24.5,1.75,0.165,0,0,0,0,0,0
1.0,32.75,2.335,5.75,0,0,0,1,0,0
0.0,52.17,0.0,0.0,0,0,0,0,0,0
0.0,48.17,1.335,0.335,0,0,0,0,120,0
0.0,20.42,10.5,0.0,0,0,0,1,32,0
1.0,50.75,0.585,0.0,0,0,0,0,0,0
1.0,17.08,0.085,0.04,0,0,0,0,722,0
1.0,18.33,1.21,0.0,0,0,0,0,0,0
0.0,32.0,6.0,1.25,0,0,0,0,0,0
1.0,59.67,1.54,0.125,1,0,0,1,0,1
1.0,18.0,0.165,0.21,0,0,0,0,40,1
1.0,37.58,0.0,0.0,0,0,0,0,0,1
1.0,32.33,2.5,1.25,0,0,0,1,0,0
1.0,18.08,6.75,0.04,0,0,0,0,0,0
1.0,38.25,10.125,0.125,0,0,0,0,0,0
1.0,30.67,2.5,2.25,0,0,0,1,0,0
1.0,18.58,5.71,0.54,0,0,0,0,0,0
0.0,19.17,5.415,0.29,0,0,0,0,484,0
0.0,18.17,10.0,0.165,0,0,0,0,0,0
1.0,24.58,13.5,0.0,0,0,0,0,0,0
1.0,16.25,0.835,0.085,1,0,0,0,0,0
1.0,21.17,0.875,0.25,0,0,0,0,204,0
1.0,23.92,0.585,0.125,0,0,0,0,1,0
1.0,17.67,4.46,0.25,0,0,0,0,0,0
0.0,16.5,1.25,0.25,0,1,1,0,98,0
1.0,23.25,12.625,0.125,0,1,2,0,5552,0
1.0,17.58,10.0,0.165,0,1,1,0,1,0
1.0,29.5,0.58,0.29,0,1,1,0,2803,0
1.0,18.83,0.415,0.165,0,1,1,0,1,0
0.0,21.75,1.75,0.0,0,0,0,0,0,0
1.0,23.0,0.75,0.5,0,0,0,1,0,0
0.0,18.25,10.0,1.0,0,1,1,0,1,0
1.0,25.42,0.54,0.165,0,1,1,0,444,0
1.0,35.75,2.415,0.125,0,1,2,0,1,0
0.0,16.08,0.335,0.0,0,1,1,0,126,0
0.0,31.92,3.125,3.04,0,1,2,1,4,0
1.0,69.17,9.0,4.0,0,1,1,0,6,0
1.0,32.92,2.5,1.75,0,1,2,1,0,0
1.0,16.33,2.75,0.665,0,1,1,0,21,0
1.0,22.17,12.125,3.335,0,1,2,1,173,0
0.0,57.58,2.0,6.5,0,1,1,0,10,0
1.0,18.25,0.165,0.25,0,0,0,1,0,0
1.0,23.42,1.0,0.5,0,0,0,1,0,0
0.0,15.92,2.875,0.085,0,0,0,0,0,0
0.0,24.75,13.665,1.5,0,0,0,0,1,0
1.0,48.75,26.335,0.0,1,0,0,1,0,0
1.0,23.5,2.75,4.5,0,0,0,0,25,0
1.0,18.58,10.29,0.415,0,0,0,0,0,0
1.0,27.75,1.29,0.25,0,0,0,1,0,0
0.0,31.75,3.0,0.0,0,0,0,0,20,0
0.0,24.83,4.5,1.0,0,0,0,1,6,0
1.0,19.0,1.75,2.335,0,0,0,1,6,0
0.0,16.33,0.21,0.125,0,0,0,0,1,0
0.0,18.58,10.0,0.415,0,0,0,0,42,0
1.0,16.25,0.0,0.25,0,0,0,0,0,0
1.0,23.0,0.75,0.5,1,0,0,1,0,0
1.0,21.17,0.25,0.25,0,0,0,0,204,0
1.0,17.5,22.0,0.0,0,0,0,1,100000,1
1.0,19.17,0.0,0.0,0,0,0,1,1,1
1.0,36.75,0.125,1.5,0,0,0,1,113,1
1.0,21.25,1.5,1.5,0,0,0,0,8,1
0.0,18.08,0.375,10.0,0,0,0,1,0,1
0.0,33.67,0.375,0.375,0,0,0,0,44,1
1.0,48.58,0.205,0.25,1,1,11,0,2732,1
1.0,33.67,1.25,1.165,0,0,0,0,0,0
0.0,29.5,1.085,1.0,0,0,0,0,13,0
1.0,30.17,1.085,0.04,0,0,0,0,179,0
1.0,34.83,2.5,3.0,0,0,0,0,0,0
1.0,20.42,0.0,0.0,0,0,0,0,0,0
0.0,33.25,2.5,2.5,0,0,0,1,2,0
1.0,34.08,2.5,1.0,0,0,0,0,16,0
0.0,25.25,12.5,1.0,0,0,0,1,1062,0
1.0,34.75,2.5,0.5,0,0,0,0,0,0
1.0,27.67,0.75,0.165,0,0,0,1,251,0
1.0,47.33,6.5,1.0,0,0,0,1,228,0
0.0,34.83,1.25,0.5,0,0,0,1,0,0
0.0,33.25,3.0,2.0,0,0,0,0,0,0
1.0,28.0,3.0,0.75,0,0,0,1,67,0
0.0,39.08,4.0,3.0,0,0,0,0,0,0
1.0,42.75,4.085,0.04,0,0,0,0,100,0
1.0,26.92,2.25,0.5,0,0,0,1,4000,0
1.0,33.75,2.75,0.0,0,0,0,0,0,0
1.0,38.92,1.75,0.5,0,0,0,1,2,0
1.0,62.75,7.0,0.0,0,0,0,0,12,0
1.0,26.75,4.5,2.5,0,0,0,0,1210,0
1.0,63.33,0.54,0.585,1,1,3,1,0,0
1.0,27.83,1.5,2.25,0,1,1,1,3,0
0.0,26.17,2.0,0.0,0,0,0,1,1,0
1.0,22.17,0.585,0.0,0,0,0,0,0,0
1.0,22.5,11.5,1.5,0,0,0,1,4000,0
1.0,30.75,1.585,0.585,0,0,0,1,0,0
1.0,36.67,2.0,0.25,0,0,0,1,0,0
0.0,16.0,0.165,1.0,0,1,2,1,1,0
1.0,41.17,1.335,0.165,0,0,0,0,0,0
0.0,19.5,0.165,0.04,0,0,0,1,0,0
1.0,32.42,3.0,0.165,0,0,0,1,0,0
0.0,36.75,4.71,0.0,0,0,0,0,0,0
0.0,30.25,5.5,5.5,0,0,0,1,0,0
1.0,23.08,2.5,0.085,0,0,0,1,4208,0
1.0,26.83,0.54,0.0,0,0,0,0,0,0
1.0,16.92,0.335,0.29,0,0,0,0,0,0
1.0,24.42,2.0,0.165,0,1,2,0,1300,0
1.0,42.83,1.25,13.875,0,1,1,1,112,0
0.0,22.75,6.165,0.165,0,0,0,0,1000,0
1.0,39.42,1.71,0.165,0,0,0,0,0,0
0.0,23.58,11.5,3.0,0,0,0,1,16,0
1.0,21.42,0.75,0.75,0,0,0,1,2,0
1.0,33.0,2.5,7.0,0,0,0,1,0,0
1.0,26.33,13.0,0.0,0,0,0,1,1110,0
0.0,45.0,4.585,1.0,0,0,0,1,0,0
1.0,26.25,1.54,0.125,0,0,0,0,0,0
0.0,20.83,0.5,1.0,0,0,0,0,0,0
1.0,28.67,14.5,0.125,0,0,0,0,286,0
1.0,20.67,0.835,2.0,0,0,0,1,0,0
1.0,34.42,1.335,0.125,0,0,0,1,4500,0
1.0,33.58,0.25,4.0,0,0,0,1,0,0
1.0,43.17,5.0,2.25,0,0,0,1,0,0
0.0,22.67,7.0,0.165,0,0,0,0,0,0
0.0,24.33,2.5,4.5,0,0,0,0,456,0
0.0,56.83,4.25,5.0,0,0,0,1,4,0
1.0,22.08,11.46,1.585,0,0,0,1,1212,0
1.0,34.0,5.5,1.5,0,0,0,1,0,0
1.0,22.58,1.5,0.54,0,0,0,1,67,0
1.0,21.17,0.0,0.5,0,0,0,1,0,0
1.0,26.67,14.585,0.0,0,0,0,1,0,0
1.0,22.92,0.17,0.085,0,0,0,0,0,0
1.0,15.17,7.0,1.0,0,0,0,0,0,0
1.0,39.92,5.0,0.21,0,0,0,0,0,0
1.0,27.42,12.5,0.25,0,0,0,1,0,0
1.0,24.75,0.54,1.0,0,0,0,1,1,0
1.0,41.17,1.25,0.25,0,0,0,0,195,0
0.0,33.08,1.625,0.54,0,0,0,1,0,0
1.0,29.83,2.04,0.04,0,0,0,0,1,0
0.0,23.58,0.585,0.125,0,0,0,0,87,0
1.0,26.17,12.5,1.25,0,0,0,1,17,0
1.0,31.0,2.085,0.085,0,0,0,0,0,0
1.0,20.75,5.085,0.29,0,0,0,0,184,0
1.0,28.92,0.375,0.29,0,0,0,0,140,0
0.0,51.92,6.5,3.085,0,0,0,1,0,0
0.0,22.67,0.335,0.75,0,0,0,0,0,0
1.0,34.0,5.085,1.085,0,0,0,1,0,0
0.0,69.5,6.0,0.0,0,0,0,0,0,0
0.0,40.33,8.125,0.165,0,1,2,0,18,0
0.0,19.58,0.665,1.0,0,1,1,0,2,0
1.0,16.0,3.125,0.085,0,1,1,0,6,0
1.0,17.08,0.25,0.335,0,1,4,0,8,0
1.0,31.25,2.835,0.0,0,1,5,0,146,0
1.0,25.17,3.0,1.25,0,1,1,0,22,0
0.0,22.67,0.79,0.085,0,0,0,0,0,0
1.0,40.58,1.5,0.0,0,0,0,0,0,0
1.0,22.25,0.46,0.125,0,0,0,1,55,0
0.0,22.25,1.25,3.25,0,0,0,0,0,0
1.0,22.5,0.125,0.125,0,0,0,0,70,0
1.0,23.58,1.79,0.54,0,0,0,1,1,0
1.0,38.42,0.705,0.375,0,1,2,0,500,0
0.0,26.58,2.54,0.0,0,0,0,1,60,0
1.0,35.0,2.5,1.0,0,0,0,1,0,0
1.0,20.42,1.085,1.5,0,0,0,0,7,0
1.0,29.42,1.25,1.75,0,0,0,0,0,0
1.0,26.17,0.835,1.165,0,0,0,0,0,0
1.0,33.67,2.165,1.5,0,0,0,0,0,0
1.0,24.58,1.25,0.25,0,0,0,0,0,0
0.0,27.67,2.04,0.25,0,0,0,1,50,0
1.0,37.5,0.835,0.04,0,0,0,0,5,0
1.0,49.17,2.29,0.29,0,0,0,0,3,0
1.0,33.58,0.335,0.085,0,0,0,0,0,0
1.0,51.83,3.0,1.5,0,0,0,0,4,0
1.0,22.92,3.165,0.165,0,0,0,0,1058,0
1.0,21.83,1.54,0.085,0,0,0,1,0,0
1.0,25.25,1.0,0.5,0,0,0,0,0,0
1.0,58.58,2.71,2.415,0,0,0,1,0,0
1.0,19.0,0.0,0.0,0,1,4,0,1,0
1.0,19.58,0.585,0.0,0,1,3,0,769,0
0.0,53.33,0.165,0.0,0,0,0,1,27,0
0.0,27.17,1.25,0.0,0,1,1,0,300,0
1.0,25.92,0.875,0.375,0,1,2,1,3,0
1.0,23.08,0.0,1.0,0,1,11,0,0,0
1.0,39.58,5.0,0.0,0,1,2,0,1,0
1.0,30.58,2.71,0.125,0,0,0,1,0,0
1.0,17.25,3.0,0.04,0,0,0,1,40,0
0.0,17.67,0.0,0.0,0,0,0,0,0,0
1.0,16.5,0.125,0.165,0,0,0,0,0,0
0.0,27.33,1.665,0.0,0,0,0,0,1,0
1.0,31.25,1.125,0.0,0,1,1,0,19,0
1.0,20.0,7.0,0.5,0,0,0,0,0,0
1.0,39.5,1.625,1.5,0,0,0,0,316,0
1.0,36.5,4.25,3.5,0,0,0,0,50,0
1.0,52.42,1.5,3.75,0,0,0,1,350,0
1.0,36.17,18.125,0.085,0,0,0,0,3552,0
1.0,34.58,0.0,0.0,0,0,0,0,0,0
1.0,29.67,0.75,0.04,0,0,0,0,0,0
1.0,36.17,5.5,5.0,0,0,0,0,687,0
1.0,25.67,0.29,1.5,0,0,0,1,0,0
0.0,24.5,2.415,0.0,0,0,0,0,0,0
1.0,24.08,0.875,0.085,0,1,4,0,1950,0
1.0,21.92,0.5,0.125,0,0,0,0,0,0
0.0,36.58,0.29,0.0,0,1,10,0,18,0
0.0,23.0,1.835,0.0,0,1,1,0,53,0
0.0,27.58,3.0,2.79,0,1,1,1,10,0
1.0,31.08,3.085,2.5,0,1,2,1,41,0
0.0,30.42,1.375,0.04,0,1,3,0,33,0
1.0,22.08,2.335,0.75,0,0,0,0,0,0
1.0,16.33,4.085,0.415,0,0,0,1,0,0
0.0,21.92,11.665,0.085,0,0,0,0,5,0
1.0,21.08,4.125,0.04,0,0,0,0,100,0
1.0,17.42,6.5,0.125,0,0,0,0,100,0
1.0,19.17,4.0,1.0,0,0,0,1,1000,0
1.0,20.67,0.415,0.125,0,0,0,0,44,0
1.0,26.75,2.0,0.75,0,0,0,1,0,0
1.0,23.58,0.835,0.085,0,0,0,1,5,0
1.0,39.17,2.5,10.0,0,0,0,1,0,0
1.0,22.75,11.5,0.415,0,0,0,0,0,0
0.0,16.92,0.5,0.165,0,1,6,1,35,0
1.0,23.5,3.165,0.415,0,1,1,1,80,0
0.0,17.33,9.5,1.75,0,1,10,1,10,0
1.0,23.75,0.415,0.04,0,1,2,0,6,0
1.0,34.67,1.08,1.165,0,0,0,0,0,0
1.0,74.83,19.0,0.04,0,1,2,0,351,0
1.0,28.17,0.125,0.085,0,0,0,0,2100,0
1.0,24.5,13.335,0.04,0,0,0,1,475,0
1.0,18.83,3.54,0.0,0,0,0,1,1,0
0.0,47.25,0.75,2.75,1,1,1,0,892,1
1.0,24.17,0.875,4.625,1,1,2,1,2000,1
1.0,39.25,9.5,6.5,1,1,14,0,4607,1
0.0,20.5,11.835,6.0,1,0,0,0,0,1
0.0,18.83,4.415,3.0,1,0,0,0,0,1
1.0,19.17,9.5,1.5,1,0,0,0,2206,1
0.0,25.0,0.875,1.04,1,0,0,1,5860,1
1.0,20.17,9.25,1.665,1,1,3,1,28,1
1.0,25.75,0.5,1.46,1,1,5,1,0,1
1.0,20.42,7.0,1.625,1,1,3,0,1391,1
1.0,39.0,5.0,3.5,1,1,10,1,0,1
0.0,64.08,0.165,0.0,1,1,1,0,100,1
1.0,28.25,5.125,4.75,1,1,2,0,7,1
0.0,28.75,3.75,1.085,1,1,1,1,0,1
1.0,31.33,19.5,7.0,1,1,16,0,5000,1
0.0,18.92,9.0,0.75,1,1,2,0,591,1
0.0,24.75,3.0,1.835,1,1,19,0,500,1
0.0,30.67,12.0,2.0,1,1,1,0,19,1
1.0,21.0,4.79,2.25,1,1,1,1,300,1
